Year,Month,No of accidents
2001,January,3199
2001,February,2935
2001,March,2972
2001,April,2912
2001,May,2887
2001,June,2829
2001,July,2845
2001,August,3012
2001,September,3060
2001,October,3048
2001,November,3247
2001,December,3493
2002,January,3072
2002,February,2739
2002,March,2643
2002,April,3096
2002,May,3113
2002,June,2754
2002,July,2731
2002,August,2688
2002,September,2835
2002,October,2897
2002,November,2908
2002,December,3058
2003,January,2894
2003,February,2485
2003,March,2495
2003,April,2570
2003,May,2614
2003,June,2526
2003,July,2534
2003,August,2569
2003,September,2612
2003,October,2852
2003,November,2799
2003,December,2997
2004,January,3661
2004,February,3393
2004,March,3477
2004,April,3411
2004,May,3239
2004,June,3306
2004,July,3164
2004,August,3334
2004,September,3399
2004,October,3532
2004,November,3425
2004,December,3762
2005,January,3862
2005,February,3422
2005,March,3667
2005,April,3565
2005,May,3873
2005,June,3407
2005,July,3138
2005,August,3501
2005,September,3108
2005,October,3505
2005,November,3605
2005,December,3710
2006,January,3875
2006,February,3387
2006,March,3718
2006,April,3345
2006,May,3617
2006,June,3218
2006,July,3131
2006,August,3396
2006,September,3372
2006,October,3422
2006,November,3505
2006,December,3661
2007,January,3758
2007,February,3451
2007,March,3518
2007,April,3461
2007,May,3648
2007,June,3170
2007,July,2835
2007,August,3121
2007,September,2936
2007,October,3215
2007,November,3231
2007,December,3573
2008,January,3430
2008,February,3177
2008,March,3124
2008,April,3206
2008,May,3207
2008,June,2912
2008,July,2909
2008,August,2887
2008,September,3078
2008,October,3093
2008,November,3035
2008,December,3205
2009,January,3148
2009,February,2933
2009,March,3081
2009,April,2880
2009,May,3128
2009,June,2959
2009,July,2737
2009,August,2862
2009,September,2698
2009,October,2898
2009,November,2950
2009,December,3159
2010,January,3219
2010,February,2966
2010,March,3175
2010,April,3068
2010,May,3155
2010,June,2740
2010,July,2634
2010,August,2751
2010,September,2854
2010,October,2610
2010,November,2896
2010,December,3014
2011,January,3146
2011,February,2929
2011,March,3122
2011,April,2805
2011,May,3144
2011,June,2767
2011,July,2688
2011,August,2787
2011,September,2844
2011,October,2976
2011,November,2882
2011,December,3126
2012,January,3262
2012,February,3039
2012,March,2960
2012,April,2942
2012,May,3159
2012,June,2866
2012,July,2848
2012,August,2929
2012,September,3025
2012,October,2960
2012,November,2991
2012,December,3193
2013,January,3251
2013,February,3023
2013,March,3090
2013,April,3113
2013,May,3231
2013,June,2712
2013,July,2595
2013,August,2772
2013,September,2788
2013,October,2728
2013,November,2789
2013,December,3123
2014,January,3360
2014,February,2926
2014,March,3039
2014,April,2836
2014,May,3189
2014,June,2837
2014,July,2878
2014,August,2959
2014,September,2937
2014,October,2946
2014,November,3004
2014,December,3371
2015,January,3670
2015,February,3306
2015,March,3304
2015,April,3191
2015,May,3354
2015,June,3078
2015,July,3113
2015,August,3185
2015,September,3195
2015,October,3227
2015,November,3024
2015,December,3367
2016,January,3688
2016,February,3384
2016,March,3321
2016,April,3223
2016,May,3385
2016,June,3160
2016,July,3179
2016,August,3220
2016,September,3267
2016,October,3211
2016,November,3095
2016,December,3287
2017,January,3430
2017,February,3157
2017,March,3167
2017,April,3175
2017,May,3480
2017,June,2918
2017,July,3028
2017,August,3143
2017,September,3169
2017,October,3125
2017,November,3308
2017,December,3370
2018,January,3655
2018,February,3433
2018,March,3448
2018,April,3326
2018,May,3592
2018,June,3200
2018,July,3045
2018,August,2918
2018,September,3278
2018,October,3302
2018,November,3449
2018,December,3535
2019,January,3886
2019,February,3674
2019,March,3466
2019,April,3335
2019,May,3782
2019,June,3335
2019,July,3239
2019,August,2925
2019,September,3109
2019,October,3344
2019,November,3451
2019,December,3565
